Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,PVF1/2,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/3,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/4,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/5,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/6,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/7,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/8,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/9,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:RecordSet,PVF10,Sous-série d'archives,,"A. Lumière et ses fils 9. Clichés aux Minous, régiment",1880/1920,,,,,,,PVF1-PVF19,Salle de classe,,,,,,,,,,,
rico:Record,PVF10/1,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/10,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/11,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/12,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/13,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/14,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/15,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/2,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/3,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/4,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/5,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/6,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/7,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/8,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF10/9,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF10,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:RecordSet,PVF11,Sous-série d'archives,,"A. Perron, Macon 1",1880/1920,,,,,,,PVF1-PVF19,Salle de classe,,,,,,,,,,,
rico:Record,PVF11/1,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/10,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/11,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/12,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/13,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/14,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/15,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/16,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/2,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF11/3,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF11,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
